Year;Month;Day;Hour;Minute;Wind Speed daily mean;Wind Direction daily mean;Wind Speed daily max;Wind Speed daily min
2001;06;05;00;00;3.32;178.04;6.25;1.49
2001;06;06;00;00;13.56;245.41;20.74;3.92
2001;06;07;00;00;9.80;253.07;14.69;4.28
2001;06;08;00;00;5.75;253.68;12.74;0.86
2001;06;09;00;00;3.82;76.12;5.84;0.35
2001;06;10;00;00;5.06;303.15;8.70;0.43
2001;06;11;00;00;9.04;263.29;16.67;2.08
2001;06;12;00;00;2.92;161.45;4.49;0.53
2001;06;13;00;00;4.76;206.62;11.58;1.00
2001;06;14;00;00;3.53;217.90;7.26;0.74
2001;06;15;00;00;4.46;165.53;6.87;1.18
2001;06;16;00;00;7.04;229.44;12.00;2.69
2001;06;17;00;00;17.75;251.85;22.95;8.93
2001;06;18;00;00;11.67;279.45;14.34;5.77
2001;06;19;00;00;6.62;122.90;10.06;4.46
2001;06;20;00;00;5.10;120.16;8.34;0.59
2001;06;21;00;00;10.04;246.95;19.03;2.43
2001;06;22;00;00;9.82;254.62;17.58;4.57
2001;06;23;00;00;4.60;119.14;5.54;2.69
2001;06;24;00;00;4.02;63.59;6.46;2.85
2001;06;25;00;00;6.77;74.10;12.07;2.54
2001;06;26;00;00;5.56;98.38;7.21;4.31
2001;06;27;00;00;7.69;227.81;16.36;3.63
2001;06;28;00;00;6.63;276.97;9.61;2.29
2001;06;29;00;00;4.92;90.05;9.83;2.08
2001;06;30;00;00;5.82;236.20;11.90;2.01
2001;07;01;00;00;5.04;232.13;7.53;2.85
2001;07;02;00;00;7.73;57.60;13.75;1.64
2001;07;03;00;00;9.45;71.84;15.37;3.45
2001;07;04;00;00;4.36;135.63;7.69;0.35
2001;07;05;00;00;7.39;87.29;14.89;3.87
2001;07;06;00;00;6.20;139.13;16.64;0.84
2001;07;07;00;00;13.56;241.06;19.93;5.44
2001;07;08;00;00;12.45;239.90;16.52;5.55
2001;07;09;00;00;8.55;243.36;15.28;1.19
2001;07;10;00;00;8.14;207.49;16.13;2.69
2001;07;11;00;00;20.21;258.26;28.92;7.99
2001;07;12;00;00;10.80;232.49;19.94;3.46
2001;07;13;00;00;7.26;223.39;12.24;3.63
2001;07;14;00;00;7.44;239.81;15.85;3.90
2001;07;15;00;00;7.46;205.26;9.35;4.94
2001;07;16;00;00;3.45;173.44;6.31;0.93
2001;07;17;00;00;3.71;233.80;6.00;1.74
2001;07;18;00;00;8.13;210.79;14.78;3.69
2001;07;19;00;00;13.26;230.08;23.50;5.03
2001;07;20;00;00;12.76;265.27;19.10;4.97
2001;07;21;00;00;2.73;185.83;4.23;1.46
2001;07;22;00;00;3.19;95.57;4.28;1.81
2001;07;23;00;00;3.52;77.90;5.81;0.35
2001;07;24;00;00;4.71;116.36;10.77;0.51
2001;07;25;00;00;7.66;61.37;13.95;2.54
2001;07;26;00;00;5.56;83.63;11.30;2.10
2001;07;27;00;00;2.31;153.99;3.23;0.79
2001;07;28;00;00;2.84;181.30;4.46;1.14
2001;07;29;00;00;3.79;208.66;5.63;1.50
2001;07;30;00;00;3.63;33.24;5.54;0.93
2001;07;31;00;00;2.93;271.33;6.25;0.74
2001;08;01;00;00;5.29;82.30;10.31;1.78
2001;08;02;00;00;4.25;140.28;6.75;1.91
2001;08;03;00;00;8.99;254.20;15.05;2.00
2001;08;04;00;00;7.89;252.55;13.62;2.52
2001;08;05;00;00;12.45;229.81;23.32;3.43
2001;08;06;00;00;9.23;206.73;14.95;3.12
2001;08;07;00;00;10.73;230.92;19.43;4.46
2001;08;08;00;00;11.46;240.62;19.68;4.68
2001;08;09;00;00;9.93;246.86;17.00;5.37
2001;08;10;00;00;12.00;286.03;17.62;3.87
2001;08;11;00;00;4.30;233.43;5.43;3.33
2001;08;12;00;00;2.26;174.96;3.78;0.35
2001;08;13;00;00;4.56;188.13;7.22;1.21
2001;08;14;00;00;3.90;107.06;4.71;2.24
2001;08;15;00;00;4.33;161.77;5.23;2.56
2001;08;16;00;00;9.21;218.30;17.75;3.89
2001;08;17;00;00;4.19;88.51;6.37;2.99
2001;08;18;00;00;3.22;127.12;4.55;1.56
2001;08;19;00;00;7.08;215.67;13.72;1.74
2001;08;20;00;00;3.40;225.93;7.57;1.00
2001;08;21;00;00;5.33;80.24;10.59;1.18
2001;08;22;00;00;5.34;83.71;8.80;2.71
2001;08;23;00;00;3.30;90.67;4.28;2.51
2001;08;24;00;00;2.49;99.91;3.49;1.18
2001;08;25;00;00;2.49;102.18;3.62;1.70
2001;08;26;00;00;3.48;111.56;4.66;1.55
2001;08;27;00;00;8.82;201.59;15.97;3.36
2001;08;28;00;00;6.47;46.34;8.14;4.77
2001;08;29;00;00;6.20;76.84;8.08;3.87
2001;08;30;00;00;7.80;224.76;15.69;2.56
2001;08;31;00;00;9.68;254.85;17.62;3.62
2001;09;01;00;00;8.40;279.67;11.82;4.57
2001;09;02;00;00;5.05;251.36;7.71;2.11
2001;09;03;00;00;7.37;227.27;11.66;3.05
2001;09;04;00;00;13.20;253.64;21.89;5.43
2001;09;05;00;00;12.28;269.08;17.39;4.26
2001;09;06;00;00;5.77;226.27;9.92;2.85
2001;09;07;00;00;14.91;259.24;23.00;5.79
2001;09;08;00;00;27.45;263.86;38.78;18.67
2001;09;09;00;00;15.68;271.04;24.99;6.35
2001;09;10;00;00;18.20;268.32;24.99;10.94
2001;09;11;00;00;12.97;263.58;23.44;7.55
2001;09;12;00;00;10.61;246.77;16.63;5.33
2001;09;13;00;00;14.92;226.95;26.09;5.37
2001;09;14;00;00;15.55;255.63;23.28;7.79
2001;09;15;00;00;13.92;251.65;23.08;7.17
2001;09;16;00;00;17.29;266.27;23.65;12.43
2001;09;17;00;00;9.17;280.08;12.03;5.33
2001;09;18;00;00;5.45;232.61;8.39;3.78
2001;09;19;00;00;10.16;187.28;16.17;4.23
2001;09;20;00;00;13.40;237.00;23.24;3.61
2001;09;21;00;00;3.82;248.18;6.35;1.61
2001;09;22;00;00;3.90;64.28;5.11;2.18
2001;09;23;00;00;5.00;61.09;9.72;1.05
2001;09;24;00;00;3.26;206.84;6.81;0.43
2001;09;25;00;00;3.71;198.27;8.99;0.66
2001;09;26;00;00;4.65;221.40;7.61;0.66
2001;09;27;00;00;3.78;206.20;5.93;1.02
2001;09;28;00;00;4.41;108.72;5.56;3.05
2001;09;29;00;00;3.30;201.87;5.20;1.96
2001;09;30;00;00;6.06;215.46;9.59;3.13
2001;10;01;00;00;9.30;190.55;21.48;4.01
2001;10;02;00;00;9.48;199.97;19.92;5.03
2001;10;03;00;00;9.31;210.72;21.99;3.23
2001;10;04;00;00;6.22;206.15;15.46;0.59
2001;10;05;00;00;3.91;128.77;4.84;2.52
2001;10;06;00;00;4.16;182.42;7.48;2.80
2001;10;07;00;00;4.90;171.86;7.95;2.34
2001;10;08;00;00;6.48;187.14;13.33;2.28
2001;10;09;00;00;2.91;211.83;4.21;1.41
2001;10;10;00;00;4.51;283.51;9.93;1.74
2001;10;11;00;00;2.38;121.49;4.31;0.18
2001;10;12;00;00;3.77;107.32;4.53;2.53
2001;10;13;00;00;4.02;103.89;4.96;2.85
2001;10;14;00;00;3.54;177.28;5.57;1.43
2001;10;15;00;00;4.35;183.26;6.04;2.64
2001;10;16;00;00;5.79;145.18;11.75;2.43
2001;10;17;00;00;3.19;109.09;4.19;1.87
2001;10;18;00;00;3.36;88.43;5.19;0.74
2001;10;19;00;00;4.96;104.83;7.14;1.81
2001;10;20;00;00;4.37;160.22;5.79;0.43
2001;10;21;00;00;16.56;242.71;24.23;6.99
2001;10;22;00;00;9.33;212.55;14.61;0.35
2001;10;23;00;00;3.86;190.99;6.60;0.51
2001;10;24;00;00;8.27;240.42;11.36;5.78
2001;10;25;00;00;7.24;232.82;12.00;1.91
2001;10;26;00;00;4.05;128.90;5.18;2.71
2001;10;27;00;00;6.97;182.22;16.37;1.89
2001;10;28;00;00;8.40;214.11;18.91;3.86
2001;10;29;00;00;8.76;229.17;19.00;3.01
2001;10;30;00;00;4.63;198.00;7.15;2.34
2001;10;31;00;00;15.33;247.06;31.69;5.07
2001;11;01;00;00;5.38;193.22;9.09;1.87
2001;11;02;00;00;8.77;55.78;13.92;5.28
2001;11;03;00;00;2.84;78.25;6.24;1.17
2001;11;04;00;00;5.54;216.29;12.92;2.65
2001;11;05;00;00;6.41;117.57;10.82;3.21
2001;11;06;00;00;16.76;247.46;30.10;2.99
2001;11;07;00;00;17.97;240.73;25.21;12.65
2001;11;08;00;00;27.66;258.18;35.31;14.14
2001;11;09;00;00;10.71;186.12;14.70;6.96
2001;11;10;00;00;15.49;56.78;30.61;7.33
2001;11;11;00;00;9.27;45.73;13.34;6.71
2001;11;12;00;00;5.43;128.14;8.29;2.86
2001;11;13;00;00;7.17;197.94;15.06;2.57
2001;11;14;00;00;13.43;36.43;19.51;9.98
2001;11;15;00;00;14.00;60.58;20.51;5.58
2001;11;16;00;00;5.37;58.91;7.75;3.78
2001;11;17;00;00;4.37;82.00;5.60;3.15
2001;11;18;00;00;4.14;157.22;5.60;1.12
2001;11;19;00;00;5.50;35.48;8.71;2.87
2001;11;20;00;00;6.08;47.09;7.88;2.88
2001;11;21;00;00;3.41;203.19;6.60;0.92
2001;11;22;00;00;17.76;246.52;31.41;7.15
2001;11;23;00;00;20.43;279.53;31.03;8.68
2001;11;24;00;00;13.57;236.78;19.01;10.42
2001;11;25;00;00;8.55;241.38;10.47;6.11
2001;11;26;00;00;6.54;243.52;9.05;2.66
2001;11;27;00;00;7.39;264.46;12.27;2.88
2001;11;28;00;00;9.81;231.88;12.88;7.23
2001;11;29;00;00;10.85;223.72;15.99;7.55
2001;11;30;00;00;9.50;221.27;14.42;6.33
2001;12;01;00;00;4.41;225.92;5.89;3.30
2001;12;02;00;00;2.55;133.25;4.01;0.43
2001;12;03;00;00;3.42;193.50;4.84;1.96
2001;12;04;00;00;15.98;235.25;28.92;4.46
2001;12;05;00;00;12.61;240.64;25.66;7.83
2001;12;06;00;00;27.29;248.15;50.80;5.23
2001;12;07;00;00;14.48;56.64;23.58;7.77
2001;12;08;00;00;11.58;62.44;15.47;7.62
2001;12;09;00;00;9.80;60.61;16.28;5.83
2001;12;10;00;00;4.78;52.69;7.75;2.74
